case  HV_EMS HV_GRPHEFT HV_HMBR HV_MOELS HV_MOHEFT HV_RSGA2 IGD_EMS IGD_GRPHEFT IGD_HMBR IGD_MOELS IGD_MOHEFT IGD_RSGA2 CM_EMS,EMS CM_EMS,GRPHEFT CM_EMS,HMBR CM_EMS,MOELS CM_EMS,MOHEFT CM_EMS,RSGA2 CM_GRPHEFT,EMS CM_GRPHEFT,GRPHEFT CM_GRPHEFT,HMBR CM_GRPHEFT,MOELS CM_GRPHEFT,MOHEFT CM_GRPHEFT,RSGA2 CM_HMBR,EMS CM_HMBR,GRPHEFT CM_HMBR,HMBR CM_HMBR,MOELS CM_HMBR,MOHEFT CM_HMBR,RSGA2 CM_MOELS,EMS CM_MOELS,GRPHEFT CM_MOELS,HMBR CM_MOELS,MOELS CM_MOELS,MOHEFT CM_MOELS,RSGA2 CM_MOHEFT,EMS CM_MOHEFT,GRPHEFT CM_MOHEFT,HMBR CM_MOHEFT,MOELS CM_MOHEFT,MOHEFT CM_MOHEFT,RSGA2 CM_RSGA2,EMS CM_RSGA2,GRPHEFT CM_RSGA2,HMBR CM_RSGA2,MOELS CM_RSGA2,MOHEFT CM_RSGA2,RSGA2
CyberShake_30_1.0  1254.357 1007.560 1235.960 1300.799 1230.183 1308.732 0.056 0.132 0.034 0.010 0.030 0.019 0.000 0.500 0.167 0.000 0.222 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.571 0.750 0.000 0.000 0.444 0.143 1.000 1.000 0.917 0.000 0.667 0.286 0.429 0.750 0.333 0.143 0.000 0.071 1.000 1.000 0.583 0.357 0.889 0.000
CyberShake_30_1.0  1072.629 835.832 1049.965 1100.040 1059.576 1125.618 0.047 0.137 0.040 0.010 0.025 0.004 0.000 0.500 0.231 0.176 0.222 0.000 0.111 0.000 0.000 0.000 0.000 0.000 0.444 0.750 0.000 0.000 0.444 0.000 0.778 1.000 0.923 0.000 0.667 0.231 0.556 0.750 0.385 0.059 0.000 0.154 0.889 1.000 0.769 0.529 0.667 0.000
CyberShake_30_1.0  1128.082 899.918 1133.884 1165.150 1123.243 1175.580 0.058 0.152 0.039 0.010 0.057 0.030 0.000 0.500 0.273 0.000 0.222 0.067 0.000 0.000 0.000 0.000 0.000 0.000 0.571 0.750 0.000 0.000 0.444 0.133 1.000 0.750 0.818 0.000 0.556 0.400 0.571 0.750 0.273 0.059 0.000 0.067 0.857 1.000 0.636 0.471 0.778 0.000
CyberShake_30_1.0  1251.803 1005.685 1239.574 1283.093 1228.320 1294.875 0.049 0.127 0.030 0.015 0.027 0.014 0.000 0.500 0.182 0.067 0.222 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.500 0.750 0.000 0.000 0.444 0.059 0.800 0.750 0.909 0.000 0.556 0.529 0.500 0.750 0.182 0.133 0.000 0.118 0.700 1.000 0.636 0.400 0.889 0.000
CyberShake_30_1.0  1131.985 895.199 1111.009 1150.739 1118.556 1192.442 0.060 0.121 0.043 0.027 0.032 0.001 0.000 0.500 0.091 0.125 0.222 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.571 0.750 0.000 0.000 0.333 0.100 0.571 0.750 0.818 0.000 0.444 0.350 0.571 0.750 0.455 0.312 0.000 0.100 1.000 1.000 0.727 0.625 0.778 0.000
CyberShake_50_1.0  1184.106 1149.485 1162.241 1280.173 1138.643 1252.165 0.048 0.040 0.045 0.010 0.047 0.017 0.000 0.222 0.538 0.045 0.538 0.200 0.500 0.000 0.154 0.000 0.231 0.200 0.333 0.778 0.000 0.000 0.692 0.200 0.833 0.889 1.000 0.000 1.000 0.533 0.250 0.778 0.231 0.000 0.000 0.000 0.667 0.778 0.769 0.364 1.000 0.000
CyberShake_50_1.0  1271.759 1221.499 1225.561 1344.800 1203.687 1291.433 0.045 0.057 0.062 0.008 0.060 0.034 0.000 0.333 0.583 0.138 0.615 0.348 0.273 0.000 0.167 0.138 0.231 0.087 0.091 0.778 0.000 0.000 0.769 0.000 0.545 0.889 1.000 0.000 1.000 0.739 0.091 0.778 0.250 0.000 0.000 0.000 0.364 0.889 0.917 0.172 1.000 0.000
CyberShake_50_1.0  3542.697 3371.211 3354.990 3656.928 3362.061 3483.518 0.037 0.036 0.035 0.007 0.042 0.016 0.000 0.250 0.455 0.296 0.538 0.304 0.429 0.000 0.364 0.111 0.231 0.174 0.286 0.750 0.000 0.037 0.769 0.174 0.714 0.875 0.909 0.000 1.000 0.783 0.214 0.750 0.182 0.000 0.000 0.043 0.357 0.750 0.545 0.037 0.769 0.000
CyberShake_50_1.0  3089.804 3045.695 3045.452 3274.307 3035.044 3229.308 0.043 0.058 0.036 0.022 0.056 0.026 0.000 0.125 0.067 0.000 0.154 0.000 0.632 0.000 0.267 0.080 0.231 0.000 0.737 0.750 0.000 0.040 0.615 0.000 0.947 0.875 0.867 0.000 1.000 0.500 0.474 0.750 0.200 0.000 0.000 0.000 0.895 0.875 0.867 0.200 1.000 0.000
CyberShake_50_1.0  1063.287 1017.082 1043.307 1142.662 1005.324 1096.609 0.057 0.057 0.049 0.012 0.053 0.019 0.000 0.222 0.500 0.000 0.615 0.350 0.300 0.000 0.214 0.000 0.231 0.050 0.400 0.556 0.000 0.000 0.538 0.150 0.800 1.000 1.000 0.000 1.000 0.500 0.100 0.778 0.214 0.000 0.000 0.000 0.400 0.889 0.786 0.333 1.000 0.000
CyberShake_100_1.0  9496.234 9817.424 10124.271 10531.902 9740.100 10042.849 0.056 0.074 0.050 0.041 0.059 0.054 0.000 0.200 0.000 0.000 0.000 0.000 0.571 0.000 0.111 0.000 0.067 0.034 0.800 0.700 0.000 0.000 0.200 0.103 0.914 0.900 0.926 0.000 0.933 0.862 0.657 0.800 0.481 0.000 0.000 0.207 0.771 0.800 0.741 0.023 0.467 0.000
CyberShake_100_1.0  10803.756 10767.974 10964.739 11540.437 10738.191 11295.878 0.058 0.114 0.096 0.084 0.100 0.088 0.000 0.200 0.000 0.000 0.000 0.000 0.417 0.000 0.048 0.000 0.000 0.000 0.667 0.700 0.000 0.000 0.200 0.154 0.833 1.000 1.000 0.000 0.733 0.885 0.611 0.800 0.333 0.146 0.000 0.192 0.750 1.000 0.714 0.000 0.600 0.000
CyberShake_100_1.0  10211.611 10179.639 10309.549 10878.310 10151.936 10653.614 0.047 0.117 0.093 0.078 0.104 0.089 0.000 0.182 0.000 0.000 0.000 0.000 0.660 0.000 0.182 0.000 0.000 0.000 0.787 0.727 0.000 0.000 0.400 0.079 0.894 1.000 1.000 0.000 1.000 0.842 0.745 0.818 0.364 0.000 0.000 0.237 0.851 1.000 0.727 0.143 0.533 0.000
CyberShake_100_1.0  10819.891 11090.992 11259.155 11717.133 11018.068 11736.182 0.050 0.129 0.108 0.091 0.114 0.103 0.000 0.100 0.000 0.000 0.000 0.000 0.292 0.000 0.120 0.000 0.000 0.062 0.542 0.600 0.000 0.029 0.133 0.062 0.625 1.000 0.920 0.000 0.733 0.906 0.542 0.800 0.480 0.059 0.000 0.375 0.750 0.900 0.760 0.059 0.333 0.000
CyberShake_100_1.0  12817.083 13025.748 13251.533 13790.858 13001.713 13809.373 0.059 0.091 0.073 0.066 0.085 0.065 0.000 0.273 0.000 0.000 0.000 0.000 0.436 0.000 0.120 0.000 0.067 0.031 0.667 0.727 0.000 0.025 0.133 0.094 0.897 1.000 0.920 0.000 0.733 0.656 0.615 0.818 0.440 0.100 0.000 0.219 0.897 0.909 0.840 0.150 0.600 0.000
Epigenomics_24_1.0  263508.912 263001.845 266038.998 274046.432 255402.206 275819.555 0.023 0.048 0.024 0.006 0.031 0.003 0.000 0.000 0.263 0.097 0.846 0.053 0.114 0.000 0.368 0.161 0.615 0.053 0.341 0.000 0.000 0.000 0.615 0.000 0.932 0.000 1.000 0.000 0.923 0.158 0.091 0.000 0.158 0.065 0.000 0.000 0.977 0.000 1.000 0.645 1.000 0.000
Epigenomics_24_1.0  269137.147 263001.845 265909.379 273583.914 255402.206 277081.974 0.012 0.054 0.028 0.008 0.038 0.010 0.000 0.000 0.389 0.121 0.923 0.053 0.167 0.000 0.333 0.182 0.615 0.026 0.095 0.000 0.000 0.000 0.615 0.000 0.524 0.000 0.889 0.000 0.923 0.079 0.000 0.000 0.167 0.030 0.000 0.000 0.833 0.000 0.889 0.727 1.000 0.000
Epigenomics_24_1.0  306973.379 301187.923 305367.539 311524.511 293045.157 314458.762 0.014 0.056 0.021 0.009 0.033 0.001 0.000 0.000 0.421 0.214 0.923 0.053 0.160 0.000 0.368 0.250 0.615 0.053 0.140 0.000 0.000 0.036 0.615 0.000 0.580 0.000 0.895 0.000 0.923 0.184 0.020 0.000 0.211 0.036 0.000 0.000 0.880 0.333 0.895 0.571 1.000 0.000
Epigenomics_24_1.0  227608.864 263001.845 269629.272 273763.890 255402.206 276374.673 0.060 0.056 0.013 0.007 0.038 0.001 0.000 0.000 0.056 0.034 0.231 0.000 0.500 0.000 0.333 0.207 0.615 0.053 0.667 0.000 0.000 0.000 0.769 0.000 0.667 0.000 0.889 0.000 0.923 0.132 0.500 0.000 0.167 0.034 0.000 0.000 1.000 0.000 0.722 0.690 1.000 0.000
Epigenomics_24_1.0  264867.873 263001.845 266258.534 274088.699 255402.206 276864.779 0.026 0.053 0.024 0.010 0.031 0.000 0.000 0.000 0.250 0.121 0.846 0.000 0.276 0.000 0.375 0.212 0.615 0.026 0.310 0.000 0.000 0.030 0.692 0.000 0.931 0.000 0.875 0.000 1.000 0.026 0.069 0.000 0.125 0.000 0.000 0.000 1.000 0.333 1.000 0.818 1.000 0.000
Epigenomics_47_1.0  1428604.535 1375091.975 1421682.254 1454653.809 1354958.291 1458364.511 0.014 0.047 0.021 0.008 0.040 0.004 0.000 0.000 0.333 0.100 1.000 0.000 0.200 0.000 0.133 0.000 0.533 0.000 0.200 0.000 0.000 0.040 0.867 0.000 0.700 0.500 0.800 0.000 1.000 0.044 0.000 0.000 0.000 0.000 0.000 0.000 0.980 0.500 0.867 0.740 1.000 0.000
Epigenomics_47_1.0  1443988.017 1370430.037 1421406.434 1453562.436 1350344.229 1453974.554 0.005 0.047 0.019 0.008 0.042 0.007 0.000 0.000 0.684 0.080 1.000 0.000 0.040 0.000 0.105 0.000 0.533 0.000 0.040 0.000 0.000 0.000 0.933 0.000 0.620 0.500 0.947 0.000 1.000 0.156 0.000 0.000 0.000 0.000 0.000 0.000 0.960 0.500 0.895 0.580 1.000 0.000
Epigenomics_47_1.0  1662926.740 1619418.164 1651469.215 1687670.092 1575344.564 1685855.234 0.011 0.040 0.023 0.005 0.039 0.007 0.000 0.000 0.267 0.040 1.000 0.000 0.180 0.000 0.067 0.000 0.533 0.000 0.340 0.333 0.000 0.020 0.867 0.000 0.940 0.333 0.933 0.000 1.000 0.044 0.000 0.000 0.000 0.000 0.000 0.000 0.960 1.000 0.867 0.640 1.000 0.000
