case  EMS GRPHEFT HMBR MOELS MOHEFT RSGA2
CyberShake_30_1.0  3.784 0.034 0.233 3.794 0.147 3.783
CyberShake_30_1.0  3.780 0.034 0.230 3.778 0.143 3.780
CyberShake_30_1.0  3.784 0.034 0.232 3.793 0.145 3.778
CyberShake_30_1.0  3.777 0.034 0.230 3.788 0.145 3.778
CyberShake_30_1.0  3.778 0.034 0.228 3.792 0.145 3.777
CyberShake_50_1.0  18.750 0.129 0.506 18.762 0.452 18.760
CyberShake_50_1.0  18.753 0.130 0.508 18.752 0.451 18.752
CyberShake_50_1.0  18.753 0.141 0.503 18.806 0.449 18.761
CyberShake_50_1.0  18.756 0.143 0.505 18.765 0.455 18.754
CyberShake_50_1.0  18.755 0.121 0.507 18.755 0.449 18.753
CyberShake_100_1.0  36.910 0.862 3.351 36.976 2.266 36.901
CyberShake_100_1.0  36.900 0.872 3.353 36.940 2.229 36.931
CyberShake_100_1.0  36.902 0.872 3.373 36.985 2.271 36.913
CyberShake_100_1.0  36.904 0.908 3.409 36.910 2.258 36.928
CyberShake_100_1.0  36.908 0.946 3.332 36.944 2.231 36.906
Epigenomics_24_1.0  3.065 0.087 0.146 3.076 0.103 3.060
Epigenomics_24_1.0  3.065 0.088 0.152 3.071 0.106 3.063
Epigenomics_24_1.0  3.063 0.089 0.147 3.073 0.103 3.061
Epigenomics_24_1.0  3.058 0.087 0.146 3.065 0.104 3.062
Epigenomics_24_1.0  3.066 0.087 0.146 3.067 0.104 3.060
Epigenomics_47_1.0  38.072 0.419 0.484 38.095 0.326 38.072
Epigenomics_47_1.0  38.079 0.415 0.485 38.113 0.321 38.077
Epigenomics_47_1.0  38.075 0.429 0.481 38.099 0.327 38.071
Epigenomics_47_1.0  38.074 0.434 0.485 38.116 0.322 38.078
Epigenomics_47_1.0  38.070 0.416 0.484 38.079 0.327 38.078
Epigenomics_100_1.0  87.609 8.882 1.976 87.598 1.635 87.622
Epigenomics_100_1.0  87.606 8.860 1.943 87.675 1.607 87.610
Epigenomics_100_1.0  87.605 8.821 1.927 87.658 1.612 87.604
Epigenomics_100_1.0  87.615 8.916 1.924 87.698 1.599 87.625
Epigenomics_100_1.0  87.600 8.671 1.931 87.614 1.602 87.602
Inspiral_30_1.0  12.648 0.073 0.389 12.646 0.238 12.646
Inspiral_30_1.0  12.645 0.073 0.383 12.662 0.237 12.644
Inspiral_30_1.0  12.644 0.083 0.380 12.660 0.233 12.649
Inspiral_30_1.0  12.642 0.072 0.380 12.677 0.231 12.649
Inspiral_30_1.0  12.645 0.071 0.377 12.651 0.233 12.651
Inspiral_50_1.0  42.189 0.261 1.058 42.217 0.703 42.182
Inspiral_50_1.0  42.192 0.267 1.054 42.240 0.698 42.180
Inspiral_50_1.0  42.192 0.261 1.052 42.190 0.700 42.182
Inspiral_50_1.0  42.192 0.266 1.050 42.234 0.695 42.196
Inspiral_50_1.0  42.183 0.260 1.055 42.243 0.700 42.198
Inspiral_100_1.0  98.912 1.496 4.942 99.117 3.917 98.905
Inspiral_100_1.0  98.910 1.489 4.967 99.084 3.977 98.898
Inspiral_100_1.0  98.900 1.493 4.945 98.920 3.925 98.939
Inspiral_100_1.0  98.898 1.500 4.929 98.958 3.919 98.929
Inspiral_100_1.0  98.897 1.526 5.072 99.037 3.996 98.935
Montage_25_1.0  2.954 0.051 0.249 2.979 0.110 2.957
Montage_25_1.0  2.955 0.051 0.250 2.979 0.111 2.958
Montage_25_1.0  2.955 0.051 0.248 2.970 0.111 2.954
Montage_25_1.0  2.961 0.051 0.247 2.965 0.110 2.954
Montage_25_1.0  2.958 0.051 0.249 2.974 0.111 2.956
Montage_50_1.0  19.235 0.428 1.249 19.261 0.682 19.241
Montage_50_1.0  19.238 0.428 1.245 19.282 0.677 19.243
Montage_50_1.0  19.232 0.422 1.248 19.290 0.677 19.242
Montage_50_1.0  19.236 0.426 1.248 19.255 0.679 19.233
Montage_50_1.0  19.231 0.422 1.247 19.258 0.676 19.232
Montage_100_1.0  99.776 3.320 7.730 99.823 3.989 99.768
Montage_100_1.0  99.774 3.313 7.776 99.957 3.999 99.805
Montage_100_1.0  99.788 3.310 7.754 99.872 4.000 99.783
Montage_100_1.0  99.783 3.330 7.811 99.904 3.996 99.778
Montage_100_1.0  99.787 3.321 7.788 100.024 4.001 99.774
Sipht_29_1.0  3.619 0.072 0.214 3.636 0.149 3.621
Sipht_29_1.0  3.619 0.072 0.213 3.625 0.149 3.623
Sipht_29_1.0  3.624 0.072 0.214 3.631 0.150 3.619
Sipht_29_1.0  3.625 0.072 0.213 3.632 0.149 3.617
Sipht_29_1.0  3.620 0.073 0.217 3.624 0.151 3.622
Sipht_58_1.0  17.726 0.270 0.785 17.748 0.527 17.726
Sipht_58_1.0  17.722 0.272 0.785 17.734 0.533 17.723
Sipht_58_1.0  17.723 0.270 0.791 17.748 0.525 17.734
Sipht_58_1.0  17.723 0.269 0.786 17.756 0.527 17.731
Sipht_58_1.0  17.720 0.274 0.795 17.771 0.533 17.721
Sipht_97_1.0  67.290 0.746 1.988 67.334 1.638 67.317
Sipht_97_1.0  67.297 0.742 1.997 67.291 1.648 67.290
Sipht_97_1.0  67.296 0.742 1.991 67.409 1.641 67.298
Sipht_97_1.0  67.300 0.760 2.013 67.363 1.649 67.316
Sipht_97_1.0  67.297 0.743 1.997 67.333 1.640 67.298
