case  EMS GRPHEFT HMBR MOELS MOHEFT RSGA2
CyberShake_30_1.0  0.043 0.035 0.238 1.296 0.148 0.293
CyberShake_30_1.0  0.082 0.034 0.238 1.034 0.148 0.280
CyberShake_30_1.0  0.041 0.035 0.236 0.593 0.148 0.271
CyberShake_30_1.0  0.082 0.036 0.238 0.475 0.148 0.310
CyberShake_30_1.0  0.084 0.035 0.235 1.069 0.149 0.287
CyberShake_50_1.0  0.405 0.164 0.514 11.518 0.462 0.903
CyberShake_50_1.0  0.289 0.130 0.523 4.965 0.467 0.690
CyberShake_50_1.0  0.321 0.129 0.520 5.095 0.464 0.628
CyberShake_50_1.0  0.141 0.126 0.525 8.359 0.461 0.596
CyberShake_50_1.0  0.512 0.156 0.517 3.262 0.465 0.605
CyberShake_100_1.0  1.069 1.043 3.433 20.419 2.288 4.329
CyberShake_100_1.0  1.391 0.992 3.433 58.992 2.292 4.526
CyberShake_100_1.0  1.695 0.790 3.439 38.174 2.289 3.638
CyberShake_100_1.0  0.132 0.802 3.442 33.668 2.283 3.702
CyberShake_100_1.0  1.296 0.820 3.430 31.697 2.294 4.296
Epigenomics_24_1.0  1.028 0.092 0.150 1.017 0.105 2.653
Epigenomics_24_1.0  0.232 0.090 0.148 0.546 0.106 4.356
Epigenomics_24_1.0  0.471 0.090 0.150 2.135 0.106 2.123
Epigenomics_24_1.0  0.786 0.089 0.150 0.644 0.106 3.885
Epigenomics_24_1.0  0.523 0.094 0.148 0.888 0.105 1.485
Epigenomics_47_1.0  2.846 0.461 0.504 30.224 0.341 6.918
Epigenomics_47_1.0  5.612 0.440 0.505 11.621 0.336 14.110
Epigenomics_47_1.0  2.372 0.485 0.510 14.289 0.338 11.332
Epigenomics_47_1.0  0.369 0.434 0.506 29.256 0.336 12.261
Epigenomics_47_1.0  2.728 0.437 0.505 4.926 0.335 9.793
Inspiral_30_1.0  1.225 0.074 0.392 2.839 0.241 1.103
Inspiral_30_1.0  0.360 0.083 0.394 6.818 0.241 1.600
Inspiral_30_1.0  0.385 0.074 0.400 5.337 0.239 0.997
Inspiral_30_1.0  1.159 0.074 0.399 3.316 0.240 1.254
Inspiral_30_1.0  0.690 0.073 0.392 4.879 0.240 1.754
Inspiral_50_1.0  0.591 0.275 1.102 22.928 0.733 6.114
Inspiral_50_1.0  1.266 0.276 1.104 25.830 0.735 11.451
Inspiral_50_1.0  3.865 0.271 1.099 26.442 0.725 10.379
Inspiral_50_1.0  1.762 0.270 1.104 23.524 0.728 5.533
Inspiral_50_1.0  2.255 0.267 1.077 42.191 0.712 2.675
Montage_25_1.0  0.678 0.052 0.250 1.538 0.111 0.465
Montage_25_1.0  0.616 0.052 0.255 2.284 0.111 0.284
Montage_25_1.0  0.504 0.051 0.250 1.341 0.113 0.348
Montage_25_1.0  0.461 0.051 0.250 1.934 0.112 0.299
Montage_25_1.0  0.241 0.052 0.254 2.661 0.112 0.282
Montage_50_1.0  2.523 0.432 1.270 76.149 0.693 1.587
Montage_50_1.0  4.274 0.432 1.279 64.620 0.691 3.066
Montage_50_1.0  2.271 0.430 1.278 21.696 0.695 1.790
Montage_50_1.0  0.948 0.445 1.307 98.562 0.695 3.799
Montage_50_1.0  1.410 0.422 1.257 31.321 0.682 2.846
Sipht_29_1.0  0.164 0.094 0.216 0.730 0.150 0.491
Sipht_29_1.0  0.237 0.072 0.219 0.293 0.148 0.317
Sipht_29_1.0  0.226 0.094 0.215 0.416 0.149 0.723
Sipht_29_1.0  0.409 0.068 0.216 0.300 0.149 0.358
Sipht_29_1.0  0.158 0.094 0.217 0.318 0.150 0.578
Sipht_58_1.0  0.486 0.277 0.790 6.238 0.521 0.881
Sipht_58_1.0  0.692 0.277 0.790 5.070 0.522 0.871
Sipht_58_1.0  0.528 0.277 0.783 5.724 0.526 0.943
Sipht_58_1.0  0.688 0.284 0.794 5.752 0.529 0.894
Sipht_58_1.0  0.319 0.278 0.786 5.806 0.521 1.218
Sipht_97_1.0  1.930 0.760 2.012 22.307 1.648 2.188
Sipht_97_1.0  1.293 0.745 2.002 45.413 1.626 2.380
Sipht_97_1.0  1.186 0.742 2.003 38.702 1.626 2.264
Sipht_97_1.0  1.267 0.755 2.026 33.206 1.637 3.877
Sipht_97_1.0  4.520 0.753 2.003 46.816 1.638 2.171
