case  EMS GRPHEFT HMBR MOHEFT
Epigenomics_100_1.0  36.383 9.736 2.027 1.677
Epigenomics_100_1.0  23.809 8.963 2.025 1.675
Inspiral_100_1.0  10.291 1.517 5.161 4.102
Inspiral_100_1.0  2.926 1.548 5.167 4.095
Inspiral_100_1.0  8.359 1.529 5.166 4.097
Inspiral_100_1.0  4.792 1.547 5.178 4.091
Inspiral_100_1.0  3.688 1.543 5.172 4.101
Montage_100_1.0  71.052 3.437 8.102 4.149
Montage_100_1.0  29.451 3.461 8.102 4.154
Montage_100_1.0  35.567 3.456 8.129 4.187
Montage_100_1.0  13.997 3.455 8.231 4.281
Montage_100_1.0  50.487 3.463 8.097 4.167
