case  HV_EMS HV_GRPHEFT HV_HMBR HV_MOELS HV_MOHEFT HV_RSGA2 IGD_EMS IGD_GRPHEFT IGD_HMBR IGD_MOELS IGD_MOHEFT IGD_RSGA2 CM_EMS,EMS CM_EMS,GRPHEFT CM_EMS,HMBR CM_EMS,MOELS CM_EMS,MOHEFT CM_EMS,RSGA2 CM_GRPHEFT,EMS CM_GRPHEFT,GRPHEFT CM_GRPHEFT,HMBR CM_GRPHEFT,MOELS CM_GRPHEFT,MOHEFT CM_GRPHEFT,RSGA2 CM_HMBR,EMS CM_HMBR,GRPHEFT CM_HMBR,HMBR CM_HMBR,MOELS CM_HMBR,MOHEFT CM_HMBR,RSGA2 CM_MOELS,EMS CM_MOELS,GRPHEFT CM_MOELS,HMBR CM_MOELS,MOELS CM_MOELS,MOHEFT CM_MOELS,RSGA2 CM_MOHEFT,EMS CM_MOHEFT,GRPHEFT CM_MOHEFT,HMBR CM_MOHEFT,MOELS CM_MOHEFT,MOHEFT CM_MOHEFT,RSGA2 CM_RSGA2,EMS CM_RSGA2,GRPHEFT CM_RSGA2,HMBR CM_RSGA2,MOELS CM_RSGA2,MOHEFT CM_RSGA2,RSGA2
CyberShake_30_1.0  980.798 726.322 938.196 978.217 950.781 1008.425 0.058 0.136 0.031 0.032 0.032 0.018 0.000 0.750 0.300 0.250 0.556 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.333 0.750 0.000 0.000 0.444 0.000 0.500 0.750 0.900 0.000 0.556 0.077 0.333 0.750 0.300 0.062 0.000 0.077 0.833 1.000 0.800 0.562 0.889 0.000
CyberShake_30_1.0  1252.060 1005.685 1223.186 1283.320 1228.320 1308.356 0.050 0.125 0.037 0.028 0.027 0.011 0.000 0.500 0.167 0.000 0.222 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.500 0.750 0.000 0.118 0.444 0.188 0.875 1.000 0.667 0.000 0.556 0.062 0.375 0.750 0.333 0.235 0.000 0.000 1.000 1.000 0.667 0.706 1.000 0.000
CyberShake_30_1.0  919.595 701.233 917.201 942.498 925.855 975.289 0.066 0.133 0.045 0.034 0.031 0.015 0.000 0.500 0.182 0.125 0.222 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.571 0.750 0.000 0.000 0.444 0.000 0.571 0.750 0.909 0.000 0.444 0.294 0.571 0.750 0.364 0.250 0.000 0.059 0.857 1.000 0.818 0.500 0.889 0.000
CyberShake_30_1.0  1155.142 904.433 1101.043 1191.119 1127.729 1205.680 0.068 0.115 0.042 0.010 0.029 0.006 0.000 0.750 0.500 0.200 0.556 0.000 0.000 0.000 0.214 0.000 0.000 0.000 0.625 0.750 0.000 0.000 0.333 0.000 0.875 1.000 0.929 0.000 0.667 0.333 0.500 0.750 0.643 0.100 0.000 0.000 1.000 1.000 0.929 0.450 0.778 0.000
CyberShake_30_1.0  1425.811 1191.373 1440.483 1504.592 1412.796 1502.176 0.069 0.099 0.041 0.006 0.023 0.006 0.000 0.500 0.111 0.000 0.222 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.625 0.750 0.000 0.000 0.333 0.100 1.000 1.000 1.000 0.000 0.667 0.400 0.500 0.750 0.333 0.111 0.000 0.100 0.875 1.000 0.667 0.389 0.889 0.000
CyberShake_50_1.0  1572.284 1506.197 1517.434 1653.670 1490.039 1601.517 0.043 0.057 0.035 0.014 0.058 0.030 0.000 0.125 0.588 0.286 0.538 0.375 0.333 0.000 0.294 0.179 0.231 0.167 0.333 0.625 0.000 0.000 0.692 0.000 0.556 0.875 1.000 0.000 1.000 0.750 0.222 0.750 0.294 0.000 0.000 0.042 0.333 0.875 1.000 0.250 0.923 0.000
CyberShake_50_1.0  3218.059 2997.104 3012.840 3254.090 3007.123 3229.469 0.028 0.040 0.028 0.015 0.046 0.008 0.000 0.556 0.615 0.167 0.769 0.091 0.308 0.000 0.385 0.042 0.231 0.000 0.231 0.667 0.000 0.000 0.615 0.000 0.692 0.889 1.000 0.000 1.000 0.545 0.077 0.778 0.385 0.000 0.000 0.000 0.615 1.000 1.000 0.333 1.000 0.000
CyberShake_50_1.0  1202.323 1145.549 1136.079 1287.000 1128.209 1231.058 0.067 0.056 0.051 0.001 0.049 0.023 0.000 0.444 0.692 0.000 0.769 0.533 0.333 0.000 0.308 0.077 0.231 0.133 0.111 0.556 0.000 0.000 0.538 0.067 0.889 0.889 1.000 0.000 1.000 0.933 0.000 0.778 0.231 0.000 0.000 0.067 0.333 0.778 0.846 0.000 0.769 0.000
CyberShake_50_1.0  2768.651 2584.943 2550.740 2891.488 2575.794 2781.086 0.040 0.034 0.032 0.002 0.039 0.018 0.000 0.250 0.286 0.042 0.538 0.261 0.429 0.000 0.357 0.042 0.231 0.174 0.500 0.625 0.000 0.000 0.538 0.130 0.929 0.875 1.000 0.000 1.000 0.783 0.286 0.750 0.214 0.000 0.000 0.087 0.786 0.750 0.929 0.125 0.923 0.000
CyberShake_50_1.0  1748.120 1628.114 1620.667 1836.662 1627.988 1795.067 0.043 0.055 0.062 0.012 0.055 0.016 0.000 0.222 0.333 0.111 0.462 0.238 0.471 0.000 0.167 0.148 0.231 0.048 0.353 0.778 0.000 0.074 0.769 0.000 0.765 0.889 0.833 0.000 1.000 0.571 0.294 0.778 0.167 0.000 0.000 0.000 0.588 0.889 0.833 0.222 1.000 0.000
CyberShake_100_1.0  8088.289 8602.811 8906.952 9179.837 8525.908 9343.521 0.062 0.113 0.086 0.082 0.103 0.085 0.000 0.100 0.000 0.000 0.000 0.000 0.485 0.000 0.087 0.021 0.067 0.000 0.667 0.700 0.000 0.042 0.267 0.152 0.727 0.900 0.913 0.000 0.867 0.515 0.545 0.800 0.435 0.042 0.000 0.242 0.848 1.000 0.783 0.542 0.467 0.000
